"V1","V2","V3"
24.7336345666554,4.80946353636682,2
2.10217186831869,21.0058426309843,2
13.4279030142352,13.5479373449925,2
13.4255985205527,11.0363599960692,2
6.46936471457593,3.61432888894342,2
18.3538906509057,17.7770193084143,2
20.2962881594431,18.1538307282608,2
16.5245946496725,0.628087238874286,1
16.5963842067868,7.12946241837926,2
3.49758288939483,19.3259680876508,2
5.15894557465799,0.625068106455728,1
6.14925203844905,20.2190260402858,2
21.2072375870775,15.7130861072801,2
0.594407442258671,20.1066708657891,2
1.83245363878086,21.1388245515991,2
13.0873181798961,19.7166625002865,2
0.473585311556235,5.20610197563656,2
13.4225014015101,18.8226195168681,2
18.3445450849831,18.1976873718668,2
7.66065067145973,0.421908521093428,1
15.2363389381208,15.0486019207165,2
10.7350616250187,14.6365723747294,2
14.2370012588799,13.2891678833403,2
22.0670910959598,19.3882540101185,2
21.7240057827439,20.3821678354871,2
22.5092502951156,9.8080160212703,2
13.4060552227311,11.115635628812,2
1.31813388434239,24.2408845515456,3
19.830738886958,19.2644276365172,2
11.4381959429011,0.803356099640951,1
9.00260368944146,7.30006092926487,2
13.4168364165816,17.3657758918125,2
19.2934244929347,21.9107904355042,2
3.09377528028563,17.1034183644224,2
20.537782338215,17.8408302890602,2
3.10015390859917,11.3737718318589,2
10.5624081625137,4.02416003053077,2
6.57877454650588,0.241384515538812,1
18.9899608318228,3.58826023293659,2
11.8577792833094,0.528986856807023,1
17.3094908474013,14.4479305075947,2
0.811037037055939,18.7513051554561,2
2.98261615680531,15.7473054714501,2
1.50393339572474,16.3746001489926,2
16.1915702570695,8.16543463733979,2
1.31588237127289,18.5859351011459,2
15.1586726075038,9.01141237118281,2
14.2387245490681,18.2078463491052,2
18.0418066272978,7.29738450609148,2
21.6795969812665,0.0314061937388033,1
0.56468338589184,20.6058941199444,2
8.60642084153369,19.1356841241941,2
6.81378722074442,12.90677410434,2
5.89075254974887,3.52609606343322,2
9.8304376937449,0.20694529521279,1
9.09928448381834,19.3826583039481,2
22.8092363569885,18.6073690245394,2
10.8769233513158,10.5344668205362,2
19.7808695549611,22.2802058095112,2
22.1463005116675,4.64915326447226,2
10.6690625427291,0.298870855476707,1
2.06813861150295,19.147311267443,2
4.61679837317206,5.62605989980511,2
11.9364800164476,0.51700032199733,1
2.27760049165227,6.16151631111279,2
8.72221575118601,6.09692939906381,2
4.66788848279975,13.8731854502112,2
8.27085989294574,13.6425616859924,2
4.58428515121341,20.5850597820245,2
10.5088553507812,19.0776079776697,2
9.09684142097831,3.60206802142784,2
15.1675433153287,5.93473258777522,2
4.00304665090516,4.36041226494126,2
9.25139143364504,5.23828557925299,2
12.6019670977257,13.8708784244955,2
